generation,line,name,type,share,cores,ram,netMbpsSla,netMbps,nbsMbsSla,nbsMbs,nets,ipPerNet,lbs,lbsGb,lbsType
"current","Compute Optimized","C4","c4.8xlarge",100,36,60,"strict",10000,"strict",4000,8,1,0,0,"None"
"current","Compute Optimized","C4","c4.xlarge",100,4,7.5,"upto",1000,"strict",750,4,1,0,0,"None"
"current","Compute Optimized","C4","c4.large",100,2,3.75,"upto",100,"strict",500,3,1,0,0,"None"
"current","Compute Optimized","C4","c4.4xlarge",100,16,30,"upto",1000,"strict",2000,8,1,0,0,"None"
"current","Compute Optimized","C4","c4.2xlarge",100,8,15,"upto",1000,"strict",1000,4,1,0,0,"None"
"current","Compute Optimized","C5","c5d.4xlarge",100,16,32,"upto",10000,"strict",2250,8,1,1,400,"nvme"
"current","Compute Optimized","C5","c5d.xlarge",100,4,8,"upto",10000,"upto",2250,4,1,1,100,"nvme"
"current","Compute Optimized","C5","c5.2xlarge",100,8,16,"upto",10000,"upto",2250,4,1,0,0,"None"
"current","Compute Optimized","C5","c5.9xlarge",100,36,72,"strict",10000,"strict",4500,8,1,0,0,"None"
"current","Compute Optimized","C5","c5d.large",100,2,4,"upto",10000,"upto",2250,3,1,1,50,"nvme"
"current","Compute Optimized","C5","c5d.9xlarge",100,32,72,"strict",10000,"strict",4500,8,1,1,900,"nvme"
"current","Compute Optimized","C5","c5d.18xlarge",100,72,144,"strict",25000,"strict",9000,15,1,2,900,"nvme"
"current","Compute Optimized","C5","c5.4xlarge",100,16,32,"upto",10000,"strict",2250,8,1,0,0,"None"
"current","Compute Optimized","C5","c5.xlarge",100,4,8,"upto",10000,"upto",2250,4,1,0,0,"None"
"current","Compute Optimized","C5","c5.18xlarge",100,72,144,"strict",25000,"strict",9000,15,1,0,0,"None"
"current","Compute Optimized","C5","c5.large",100,2,4,"upto",10000,"upto",2250,3,1,0,0,"None"
"current","Compute Optimized","C5","c5d.2xlarge",100,8,16,"upto",10000,"upto",2250,4,1,1,200,"nvme"
"current","Storage","D2","d2.xlarge",100,4,30.5,"upto",5000,"strict",750,4,1,3,2000,"hdd"
"current","Storage","D2","d2.2xlarge",100,8,61,"upto",10000,"strict",1000,4,1,6,2000,"hdd"
"current","Storage","D2","d2.8xlarge",100,36,244,"strict",10000,"strict",4000,8,1,24,2000,"hdd"
"current","Storage","D2","d2.4xlarge",100,16,122,"upto",10000,"strict",2000,8,1,12,2000,"hdd"
"current","Compute","F1","f1.2xlarge",100,8,122,"upto",10000,"strict",1700,4,1,1,470,"ssd"
"current","Compute","F1","f1.16xlarge",100,64,976,"strict",25000,"strict",14000,8,1,4,940,"ssd"
"current","Compute","G3","g3.4xlarge",100,16,122,"upto",10000,"strict",3500,8,1,0,0,"None"
"current","Compute","G3","g3.8xlarge",100,32,244,"strict",10000,"strict",7000,8,1,0,0,"None"
"current","Compute","G3","g3.16xlarge",100,64,488,"strict",25000,"strict",14000,15,1,0,0,"None"
"current","Storage","H1","h1.4xlarge",100,16,64,"upto",10000,"strict",3500,8,1,2,2000,"hdd"
"current","Storage","H1","h1.16xlarge",100,64,256,"strict",25000,"strict",14000,15,1,8,2000,"hdd"
"current","Storage","H1","h1.8xlarge",100,32,128,"strict",10000,"strict",70000,8,1,4,2000,"hdd"
"current","Storage","H1","h1.2xlarge",100,8,32,"upto",10000,"strict",1750,4,1,1,2000,"hdd"
"current","Storage","I3","i3.2xlarge",100,8,61,"upto",10000,"strict",1700,4,1,1,1900,"nvme"
"current","Storage","I3","i3.16xlarge",100,64,488,"strict",25000,"strict",14000,15,1,8,1900,"nvme"
"current","Storage","I3","i3.large",100,2,15.25,"upto",10000,"strict",425,3,1,1,475,"nvme"
"current","Storage","I3","i3.4xlarge",100,16,122,"upto",10000,"strict",3500,8,1,2,1900,"nvme"
"current","Storage","I3","i3.xlarge",100,4,30.5,"upto",10000,"strict",850,4,1,1,950,"nvme"
"current","Storage","I3","i3.metal",100,72,512,"strict",25000,"strict",10000,15,1,8,1900,"nvme"
"current","Storage","I3","i3.8xlarge",100,32,244,"strict",10000,"strict",7000,8,1,4,1900,"nvme"
"current","Universal","M4","m4.16xlarge",100,96,384,"strict",25000,"strict",10000,8,1,0,0,"None"
"current","Universal","M4","m4.large",100,2,8,"upto",1000,"strict",450,2,1,0,0,"None"
"current","Universal","M4","m4.4xlarge",100,16,64,"upto",10000,"strict",2000,8,1,0,0,"None"
"current","Universal","M4","m4.2xlarge",100,8,32,"upto",10000,"strict",1000,4,1,0,0,"None"
"current","Universal","M4","m4.10xlarge",100,48,192,"strict",10000,"strict",4000,8,1,0,0,"None"
"current","Universal","M4","m4.xlarge",100,4,16,"upto",10000,"strict",750,4,1,0,0,"None"
"current","Universal","M5","m5d.large",100,2,8,"upto",10000,"upto",2120,3,1,1,75,"nvme"
"current","Universal","M5","m5.large",100,2,8,"upto",10000,"upto",2120,3,1,0,0,"None"
"current","Universal","M5","m5.12xlarge",100,48,192,"strict",10000,"strict",5000,8,1,0,0,"None"
"current","Universal","M5","m5d.4xlarge",100,16,64,"upto",10000,"strict",2120,8,1,2,300,"nvme"
"current","Universal","M5","m5.4xlarge",100,16,64,"upto",10000,"strict",2120,8,1,0,0,"None"
"current","Universal","M5","m5.xlarge",100,4,16,"upto",10000,"upto",2120,4,1,0,0,"None"
"current","Universal","M5","m5d.xlarge",100,4,16,"upto",10000,"upto",2120,4,1,1,150,"nvme"
"current","Universal","M5","m5d.24xlarge",100,96,384,"strict",25000,"strict",10000,15,1,4,900,"nvme"
"current","Universal","M5","m5.24xlarge",100,96,384,"strict",25000,"strict",10000,15,1,0,0,"None"
"current","Universal","M5","m5.2xlarge",100,8,32,"upto",10000,"upto",2120,4,1,0,0,"None"
"current","Universal","M5","m5d.2xlarge",100,8,32,"upto",10000,"upto",2120,4,1,1,300,"nvme"
"current","Universal","M5","m5d.12xlarge",100,48,192,"strict",10000,"strict",5000,8,1,2,900,"nvme"
"current","Accelerated Compute","P2","p2.8xlarge",100,32,488,"strict",10000,"strict",5000,8,1,0,0,"None"
"current","Accelerated Compute","P2","p2.xlarge",100,4,61,"upto",10000,"strict",750,4,1,0,0,"None"
"current","Accelerated Compute","P2","p2.16xlarge",100,64,732,"strict",25000,"strict",10000,15,1,0,0,"None"
"current","Accelerated Compute","P3","p3.2xlarge",100,8,61,"upto",10000,"strict",1750,4,1,0,0,"None"
"current","Accelerated Compute","P3","p3.16xlarge",100,64,488,"strict",25000,"strict",14000,15,1,0,0,"None"
"current","Accelerated Compute","P3","p3.8xlarge",100,32,244,"upto",10000,"strict",7000,8,1,0,0,"None"
"current","Memory Intensive","R4","r4.6xlarge",100,32,244,"strict",10000,"strict",7000,8,1,0,0,"None"
"current","Memory Intensive","R4","r4.2xlarge",100,8,61,"upto",10000,"strict",1700,4,1,0,0,"None"
"current","Memory Intensive","R4","r4.large",100,2,15.25,"upto",10000,"strict",425,3,1,0,0,"None"
"current","Memory Intensive","R4","r4.4xlarge",100,16,122,"upto",10000,"strict",3500,8,1,0,0,"None"
"current","Memory Intensive","R4","r4.xlarge",100,4,30.5,"upto",10000,"strict",850,4,1,0,0,"None"
"current","Memory Intensive","R4","r4.16xlarge",100,64,488,"strict",25000,"strict",14000,15,1,0,0,"None"
"current","Universal","T2","t2.xlarge",22,4,16,"upto",1000,"upto",50,1,1,0,0,"None"
"current","Universal","T2","t2.2xlarge",16,8,32,"upto",1000,"upto",50,1,1,0,0,"None"
"current","Universal","T2","t2.medium",20,2,4,"upto",100,"upto",50,1,1,0,0,"None"
"current","Universal","T2","t2.large",30,2,8,"upto",100,"upto",50,1,1,0,0,"None"
"current","Universal","T2","t2.micro",10,1,1,"upto",100,"upto",50,1,1,0,0,"None"
"current","Universal","T2","t2.small",20,1,2,"upto",100,"upto",50,1,1,0,0,"None"
"current","Universal","T2","t2.nano",5,1,0.5,"upto",10,"upto",50,1,1,0,0,"None"
"current","Memory Intensive","X1e","x1e.2xlarge",100,8,244,"upto",10000,"strict",1000,4,1,1,240,"ssd"
"current","Memory Intensive","X1e","x1e.32xlarge",100,128,3904,"strict",25000,"strict",14000,8,1,2,1920,"ssd"
"current","Memory Intensive","X1e","x1e.xlarge",100,4,122,"upto",10000,"strict",500,3,1,1,120,"ssd"
"current","Memory Intensive","X1e","x1e.16xlarge",100,64,1952,"strict",10000,"strict",7000,8,1,1,1920,"ssd"
"current","Memory Intensive","X1e","x1e.8xlarge",100,32,976,"upto",10000,"strict",3500,4,1,1,960,"ssd"
"current","Memory Intensive","X1e","x1e.4xlarge",100,16,488,"upto",10000,"strict",1750,4,1,1,480,"ssd"
"current","Memory Intensive","X1","x1.32xlarge",100,128,1952,"strict",25000,"upto",14000,8,1,2,1920,"ssd"
"current","Memory Intensive","X1","x1.16xlarge",100,64,976,"strict",10000,"upto",7000,8,1,1,1920,"ssd"
